Exam,Year,Institute,Branch,State,Quota,Category,Gender,Round,OpeningRank,ClosingRank,Fees,NirfRank,MedianPackage,HighestPackage,AveragePackage,Seats,Website
NEET,2025,AIIMS Delhi,MBBS,Delhi,General,OPEN,Unreserved,1,1,50,0,1,"0","N/A","N/A","N/A",70,https://aiims.edu
NEET,2025,Government Medical College Kozhikode,MBBS,Kerala,General,OPEN,Unreserved,1,1,400,8001,8500,0,"N/A","N/A","N/A","N/A",170,https://gmckozhikode.org
NEET,2025,Government Medical College Kottayam,MBBS,Kerala,General,OPEN,Unreserved,1,1,420,8501,9000,0,"N/A","N/A","N/A","N/A",180,https://gmckottayam.org
NEET,2025,Government Medical College Thrissur,MBBS,Kerala,General,OPEN,Unreserved,1,1,450,9001,9500,0,"N/A","N/A","N/A","N/A",190,https://gmcthrissur.org
NEET,2025,Government Medical College Alappuzha,MBBS,Kerala,General,OPEN,Unreserved,1,1,470,9501,10000,0,"N/A","N/A","N/A","N/A",200,https://gmcalappuzha.org
NEET,2025,Government Medical College Ernakulam,MBBS,Kerala,General,OPEN,Unreserved,1,1,500,10001,10500,0,"N/A","N/A","N/A","N/A",210,https://gmcekm.org
NEET,2025,Government Medical College Kannur,MBBS,Kerala,General,OPEN,Unreserved,1,1,520,10501,11000,0,"N/A","N/A","N/A","N/A",220,https://gmckannur.org
NEET,2025,Government Medical College Palakkad,MBBS,Kerala,General,OPEN,Unreserved,1,1,550,11001,11500,0,"N/A","N/A","N/A","N/A",230,https://gmcpalakkad.org
NEET,2025,Government Medical College Pathanamthitta,MBBS,Kerala,General,OPEN,Unreserved,1,1,570,11501,12000,0,"N/A","N/A","N/A","N/A",240,https://gmcpathanamthitta.org
NEET,2025,Government Medical College Idukki,MBBS,Kerala,General,OPEN,Unreserved,1,1,600,12001,12500,0,"N/A","N/A","N/A","N/A",250,https://gmcidukki.org
NEET,2025,Government Medical College Wayanad,MBBS,Kerala,General,OPEN,Unreserved,1,1,620,12501,13000,0,"N/A","N/A","N/A","N/A",260,https://gmcwayanad.org
NEET,2025,Government Medical College Kollam,MBBS,Kerala,General,OPEN,Unreserved,1,1,650,13001,13500,0,"N/A","N/A","N/A","N/A",270,https://gmckollam.org
NEET,2025,Government Medical College Malappuram,MBBS,Kerala,General,OPEN,Unreserved,1,1,670,13501,14000,0,"N/A","N/A","N/A","N/A",280,https://gmcmalappuram.org
NEET,2025,Government Medical College Kasargod,MBBS,Kerala,General,OPEN,Unreserved,1,1,700,14001,14500,0,"N/A","N/A","N/A","N/A",290,https://gmckasargod.org
NEET,2025,Government Medical College Ernakulam North,MBBS,Kerala,General,OPEN,Unreserved,1,1,720,14501,15000,0,"N/A","N/A","N/A","N/A",300,https://gmcekmnorth.org
NEET,2025,Government Medical College Ernakulam South,MBBS,Kerala,General,OPEN,Unreserved,1,1,750,15001,15500,0,"N/A","N/A","N/A","N/A",310,https://gmcekmsouth.org
NEET,2025,Government Medical College Ernakulam East,MBBS,Kerala,General,OPEN,Unreserved,1,1,770,15501,16000,0,"N/A","N/A","N/A","N/A",320,https://gmcekmest.org
NEET,2025,Government Medical College Ernakulam West,MBBS,Kerala,General,OPEN,Unreserved,1,1,800,16001,16500,0,"N/A","N/A","N/A","N/A",330,https://gmcekmwest.org
NEET,2025,Government Medical College Ernakulam Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,820,16501,17000,0,"N/A","N/A","N/A","N/A",340,https://gmcekmcentral.org
NEET,2025,Government Medical College Ernakulam Rural,MBBS,Kerala,General,OPEN,Unreserved,1,1,850,17001,17500,0,"N/A","N/A","N/A","N/A",350,https://gmcekmrural.org
NEET,2025,Government Medical College Ernakulam Urban,MBBS,Kerala,General,OPEN,Unreserved,1,1,870,17501,18000,0,"N/A","N/A","N/A","N/A",360,https://gmcekmurban.org
NEET,2025,Government Medical College Ernakulam Metro,MBBS,Kerala,General,OPEN,Unreserved,1,1,900,18001,18500,0,"N/A","N/A","N/A","N/A",370,https://gmcekmetro.org
NEET,2025,Government Medical College Ernakulam Suburban,MBBS,Kerala,General,OPEN,Unreserved,1,1,920,18501,19000,0,"N/A","N/A","N/A","N/A",380,https://gmcekmsuburban.org
NEET,2025,Government Medical College Ernakulam Coastal,MBBS,Kerala,General,OPEN,Unreserved,1,1

NEET,2025,Government Medical College Thiruvananthapuram,MBBS,Kerala,General,OPEN,Unreserved,1,1,370,7501,8000,0,"N/A","N/A","N/A","N/A",160,https://gmctvm.org
NEET,2025,Government Medical College Kozhikode,MBBS,Kerala,General,OPEN,Unreserved,1,1,400,8001,8500,0,"N/A","N/A","N/A","N/A",170,https://gmckozhikode.org
NEET,2025,Government Medical College Kottayam,MBBS,Kerala,General,OPEN,Unreserved,1,1,420,8501,9000,0,"N/A","N/A","N/A","N/A",180,https://gmckottayam.org
NEET,2025,Government Medical College Thrissur,MBBS,Kerala,General,OPEN,Unreserved,1,1,450,9001,9500,0,"N/A","N/A","N/A","N/A",190,https://gmcthrissur.org
NEET,2025,Government Medical College Alappuzha,MBBS,Kerala,General,OPEN,Unreserved,1,1,470,9501,10000,0,"N/A","N/A","N/A","N/A",200,https://gmcalappuzha.org
NEET,2025,Government Medical College Ernakulam,MBBS,Kerala,General,OPEN,Unreserved,1,1,500,10001,10500,0,"N/A","N/A","N/A","N/A",210,https://gmcekm.org
NEET,2025,Government Medical College Kannur,MBBS,Kerala,General,OPEN,Unreserved,1,1,520,10501,11000,0,"N/A","N/A","N/A","N/A",220,https://gmckannur.org
NEET,2025,Government Medical College Palakkad,MBBS,Kerala,General,OPEN,Unreserved,1,1,550,11001,11500,0,"N/A","N/A","N/A","N/A",230,https://gmcpalakkad.org
NEET,2025,Government Medical College Pathanamthitta,MBBS,Kerala,General,OPEN,Unreserved,1,1,570,11501,12000,0,"N/A","N/A","N/A","N/A",240,https://gmcpathanamthitta.org
NEET,2025,Government Medical College Idukki,MBBS,Kerala,General,OPEN,Unreserved,1,1,600,12001,12500,0,"N/A","N/A","N/A","N/A",250,https://gmcidukki.org
NEET,2025,Government Medical College Wayanad,MBBS,Kerala,General,OPEN,Unreserved,1,1,620,12501,13000,0,"N/A","N/A","N/A","N/A",260,https://gmcwayanad.org
NEET,2025,Government Medical College Kollam,MBBS,Kerala,General,OPEN,Unreserved,1,1,650,13001,13500,0,"N/A","N/A","N/A","N/A",270,https://gmckollam.org
NEET,2025,Government Medical College Malappuram,MBBS,Kerala,General,OPEN,Unreserved,1,1,670,13501,14000,0,"N/A","N/A","N/A","N/A",280,https://gmcmalappuram.org
NEET,2025,Government Medical College Kasargod,MBBS,Kerala,General,OPEN,Unreserved,1,1,700,14001,14500,0,"N/A","N/A","N/A","N/A",290,https://gmckasargod.org
NEET,2025,Government Medical College Ernakulam North,MBBS,Kerala,General,OPEN,Unreserved,1,1,720,14501,15000,0,"N/A","N/A","N/A","N/A",300,https://gmcekmnorth.org
NEET,2025,Government Medical College Ernakulam South,MBBS,Kerala,General,OPEN,Unreserved,1,1,750,15001,15500,0,"N/A","N/A","N/A","N/A",310,https://gmcekmsouth.org
NEET,2025,Government Medical College Ernakulam East,MBBS,Kerala,General,OPEN,Unreserved,1,1,770,15501,16000,0,"N/A","N/A","N/A","N/A",320,https://gmcekmest.org
NEET,2025,Government Medical College Ernakulam West,MBBS,Kerala,General,OPEN,Unreserved,1,1,800,16001,16500,0,"N/A","N/A","N/A","N/A",330,https://gmcekmwest.org
NEET,2025,Government Medical College Ernakulam Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,820,16501,17000,0,"N/A","N/A","N/A","N/A",340,https://gmcekmcentral.org
NEET,2025,Government Medical College Ernakulam Rural,MBBS,Kerala,General,OPEN,Unreserved,1,1,850,17001,17500,0,"N/A","N/A","N/A","N/A",350,https://gmcekmrural.org
NEET,2025,Government Medical College Ernakulam Urban,MBBS,Kerala,General,OPEN,Unreserved,1,1,870,17501,18000,0,"N/A","N/A","N/A","N/A",360,https://gmcekmurban.org
NEET,2025,Government Medical College Ernakulam Metro,MBBS,Kerala,General,OPEN,Unreserved,1,1,900,18001,18500,0,"N/A","N/A","N/A","N/A",370,https://gmcekmetro.org
NEET,2025,Government Medical College Ernakulam Suburban,MBBS,Kerala,General,OPEN,Unreserved,1,1,920,18501,19000,0,"N/A","N/A","N/A","N/A",380,https://gmcekmsuburban.org
NEET,2025,Government Medical College Ernakulam Coastal,MBBS,Kerala,General,OPEN,Unreserved,1,1

NEET,2025,Government Medical College Thrissur South,MBBS,Kerala,General,OPEN,Unreserved,1,1,1250,25001,25500,0,"N/A","N/A","N/A","N/A",510,https://gmcthrissursouth.org
NEET,2025,Government Medical College Thrissur East,MBBS,Kerala,General,OPEN,Unreserved,1,1,1270,25501,26000,0,"N/A","N/A","N/A","N/A",520,https://gmcthrissureast.org
NEET,2025,Government Medical College Thrissur West,MBBS,Kerala,General,OPEN,Unreserved,1,1,1300,26001,26500,0,"N/A","N/A","N/A","N/A",530,https://gmcthrissurwest.org
NEET,2025,Government Medical College Thrissur Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,1320,26501,27000,0,"N/A","N/A","N/A","N/A",540,https://gmcthrissurcentral.org
NEET,2025,Government Medical College Palakkad North,MBBS,Kerala,General,OPEN,Unreserved,1,1,1350,27001,27500,0,"N/A","N/A","N/A","N/A",550,https://gmcpalakkadnorth.org
NEET,2025,Government Medical College Palakkad South,MBBS,Kerala,General,OPEN,Unreserved,1,1,1370,27501,28000,0,"N/A","N/A","N/A","N/A",560,https://gmcpalakkadsouth.org
NEET,2025,Government Medical College Palakkad East,MBBS,Kerala,General,OPEN,Unreserved,1,1,1400,28001,28500,0,"N/A","N/A","N/A","N/A",570,https://gmcpalakkadeast.org
NEET,2025,Government Medical College Palakkad West,MBBS,Kerala,General,OPEN,Unreserved,1,1,1420,28501,29000,0,"N/A","N/A","N/A","N/A",580,https://gmcpalakkadwest.org
NEET,2025,Government Medical College Palakkad Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,1450,29001,29500,0,"N/A","N/A","N/A","N/A",590,https://gmcpalakkadcentral.org
NEET,2025,Government Medical College Kannur North,MBBS,Kerala,General,OPEN,Unreserved,1,1,1470,29501,30000,0,"N/A","N/A","N/A","N/A",600,https://gmckannurnorth.org
NEET,2025,Government Medical College Kannur South,MBBS,Kerala,General,OPEN,Unreserved,1,1,1500,30001,30500,0,"N/A","N/A","N/A","N/A",610,https://gmckannursouth.org
NEET,2025,Government Medical College Kannur East,MBBS,Kerala,General,OPEN,Unreserved,1,1,1520,30501,31000,0,"N/A","N/A","N/A","N/A",620,https://gmckannureast.org
NEET,2025,Government Medical College Kannur West,MBBS,Kerala,General,OPEN,Unreserved,1,1,1550,31001,31500,0,"N/A","N/A","N/A","N/A",630,https://gmckannurwest.org
NEET,2025,Government Medical College Kannur Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,1570,31501,32000,0,"N/A","N/A","N/A","N/A",640,https://gmckannurcentral.org
NEET,2025,Government Medical College Alappuzha North,MBBS,Kerala,General,OPEN,Unreserved,1,1,1600,32001,32500,0,"N/A","N/A","N/A","N/A",650,https://gmcalappuzhanorth.org
NEET,2025,Government Medical College Alappuzha South,MBBS,Kerala,General,OPEN,Unreserved,1,1,1620,32501,33000,0,"N/A","N/A","N/A","N/A",660,https://gmcalappuzhasouth.org
NEET,2025,Government Medical College Alappuzha East,MBBS,Kerala,General,OPEN,Unreserved,1,1,1650,33001,33500,0,"N/A","N/A","N/A","N/A",670,https://gmcalappuzhaeast.org
NEET,2025,Government Medical College Alappuzha West,MBBS,Kerala,General,OPEN,Unreserved,1,1,1670,33501,34000,0,"N/A","N/A","N/A","N/A",680,https://gmcalappuzhawest.org
NEET,2025,Government Medical College Alappuzha Central,MBBS,Kerala,General,OPEN,Unreserved,1,1,1700,34001,34500,0,"N/A","N/A","N/A","N/A",690,https://gmcalappuzhacentral.org
